1773620594,5680,,,
1773620595,7492,,Max,10832
1773620596,7492,,Min,5680
1773620597,8840,,Avg,9997.04065
1773620598,9004,,,
1773620599,9028,,,
1773620600,9040,,,
1773620601,9064,,,
1773620602,9084,,,
1773620603,9168,,,
1773620604,9184,,,
1773620605,9192,,,
1773620606,9204,,,
1773620607,9216,,,
1773620608,9224,,,
1773620609,9244,,,
1773620610,9256,,,
1773620611,9276,,,
1773620612,9284,,,
1773620613,9296,,,
1773620614,9304,,,
1773620615,9340,,,
1773620616,9356,,,
1773620617,9368,,,
1773620618,9536,,,
1773620619,9556,,,
1773620620,9564,,,
1773620621,9604,,,
1773620622,9620,,,
1773620623,9632,,,
1773620624,9716,,,
1773620625,9748,,,
1773620626,9756,,,
1773620627,9768,,,
1773620628,9788,,,
1773620629,9796,,,
1773620630,9812,,,
1773620631,9820,,,
1773620632,9836,,,
1773620633,9856,,,
1773620634,9864,,,
1773620635,9872,,,
1773620636,9892,,,
1773620637,9900,,,
1773620639,9904,,,
1773620640,9912,,,
1773620641,9940,,,
1773620642,9948,,,
1773620643,9988,,,
1773620644,9996,,,
1773620645,10004,,,
1773620646,10012,,,
1773620647,10024,,,
1773620648,10056,,,
1773620649,10064,,,
1773620650,10096,,,
1773620651,10108,,,
1773620652,10128,,,
1773620653,10132,,,
1773620654,10140,,,
1773620655,10148,,,
1773620656,10152,,,
1773620657,10160,,,
1773620658,10164,,,
1773620659,10172,,,
1773620660,10176,,,
1773620661,10208,,,
1773620662,10212,,,
1773620663,10220,,,
1773620664,10228,,,
1773620665,10232,,,
1773620666,10240,,,
1773620667,10244,,,
1773620668,10248,,,
1773620669,10256,,,
1773620670,10260,,,
1773620671,10268,,,
1773620672,10272,,,
1773620673,10280,,,
1773620674,10284,,,
1773620675,10288,,,
1773620676,10296,,,
1773620677,10300,,,
1773620678,10308,,,
1773620679,10412,,,
1773620680,10416,,,
1773620681,10424,,,
1773620682,10428,,,
1773620683,10436,,,
1773620684,10440,,,
1773620685,10448,,,
1773620686,10464,,,
1773620687,10468,,,
1773620688,10476,,,
1773620689,10572,,,
1773620690,10584,,,
1773620691,10604,,,
1773620693,10608,,,
1773620694,10616,,,
1773620695,10624,,,
1773620696,10636,,,
1773620697,10640,,,
1773620698,10648,,,
1773620699,10652,,,
1773620700,10656,,,
1773620701,10664,,,
1773620702,10668,,,
1773620703,10720,,,
1773620704,10728,,,
1773620705,10736,,,
1773620706,10740,,,
1773620707,10748,,,
1773620708,10752,,,
1773620709,10760,,,
1773620710,10764,,,
1773620711,10784,,,
1773620712,10792,,,
1773620713,10796,,,
1773620714,10804,,,
1773620715,10808,,,
1773620716,10816,,,
1773620717,10832,,,
1773620718,10832,,,
