1771894732,5800
1771894734,5800
1771894735,7524
1771894736,7524
1771894737,10000
1771894738,10752
1771894739,11488
1771894740,12572
1771894741,13356
1771894742,14200
1771894743,14904
1771894744,15608
1771894745,16440
1771894746,17320
1771894747,18052
1771894748,18776
1771894749,19480
1771894750,20176
1771894751,20872
1771894752,21560
1771894753,22448
1771894754,23080
1771894755,23860
1771894756,24560
1771894757,25236
1771894758,26012
1771894759,26824
1771894760,27536
1771894761,28240
1771894762,28948
1771894763,29640
1771894764,30416
1771894765,31224
1771894766,31920
1771894767,32608
1771894768,33316
1771894769,34148
1771894770,34852
1771894771,35620
1771894772,36324
1771894773,37012
1771894774,37748
1771894775,38568
1771894776,39300
1771894777,40024
1771894778,40732
1771894779,41428
1771894780,42272
1771894781,42984
1771894782,41528
1771894783,42036
1771894784,42532
1771894785,43044
1771894786,41416
1771894787,41908
1771894788,42392
1771894789,42888
1771894790,41140
1771894791,41680
1771894792,42176
1771894793,42680
1771894794,43188
1771894795,41480
1771894796,41972
1771894797,42448
1771894798,42948
1771894799,41252
1771894800,41848
1771894801,42332
1771894802,42824
1771894803,43324
1771894804,41632
1771894805,42112
1771894806,42604
1771894807,43096
1771894808,41268
1771894809,41872
1771894810,42360
1771894811,42860
1771894812,43360
1771894813,41668
1771894814,42164
1771894815,42664
1771894816,43160
1771894817,41292
1771894818,41948
1771894819,42444
1771894820,42944
1771894821,43444
1771894822,41728
1771894823,42224
1771894824,42712
1771894825,43216
1771894826,43504
1771894827,43504
1771894828,43508
1771894829,43516
1771894830,43520
1771894831,43520
1771894833,43524
1771894834,43524
1771894835,43524
1771894836,43524
1771894837,43524
1771894838,43524
1771894839,43524
1771894840,43524
1771894841,43528
1771894842,43528
1771894843,43528
1771894844,43528
1771894845,43528
1771894846,43528
1771894847,43528
1771894848,43528
1771894849,43528
1771894850,43528
1771894851,43528
1771894852,43528
1771894853,43536
1771894854,43536
1771894855,43536
1771894856,43536
1771894857,43536
1771894858,43536
1771894859,43536
1771894860,43536
1771894861,43536
1771894862,43536
1771894863,43536
1771894864,43548
1771894865,43584
1771894866,43588
1771894867,43592
1771894868,43596
1771894869,43596
1771894870,43596
1771894871,43596
1771894872,43596
1771894873,43596
1771894874,43596
1771894875,43600
1771894876,43600
1771894877,43600
1771894878,43600
1771894879,43600
1771894880,43600
1771894881,43600
1771894882,43600
1771894883,43600
1771894884,43600
1771894885,43600
1771894886,43608
1771894887,43612
1771894888,43612
1771894889,43612
1771894890,43612
1771894891,43612
1771894892,43612
1771894893,43612
1771894894,43612
1771894895,43612
1771894896,43612
1771894897,43612
1771894898,43612
1771894899,43612
1771894900,43612
1771894901,43612
1771894902,43612
1771894903,43612
1771894904,43612
1771894905,43612
1771894906,43612
1771894907,43612
1771894908,43612
1771894909,43612
1771894910,43612
1771894911,43612
1771894913,43612
1771894914,43612
1771894915,43612
1771894916,43612
1771894917,43612
1771894918,43612
1771894919,43612
1771894920,43612
1771894921,43612
1771894922,43612
1771894923,43612
1771894924,43612
1771894925,43612
1771894926,43612
1771894927,43612
1771894928,43612
1771894929,43612
1771894930,43612
1771894931,43612
1771894932,43612
1771894933,43612
1771894934,43612
1771894935,43612
1771894936,43612
1771894937,43612
1771894938,43612
1771894939,43612
1771894940,43612
1771894941,43612
1771894942,43612
1771894943,43676
1771894944,43676
1771894945,43676
1771894946,43676
1771894947,43676
1771894948,43676
1771894949,43676
1771894950,43676
1771894951,43676
1771894952,43676
1771894953,43676
1771894954,43676
1771894955,43676
1771894956,43676
1771894957,43676
1771894958,43676
1771894959,43676
1771894960,43676
1771894961,43676
1771894962,43676
1771894963,43676
1771894964,43676
1771894965,43676
1771894966,43676
1771894967,43676
1771894968,43676
1771894969,43676
1771894970,43676
1771894971,43676
1771894972,43676
1771894973,43676
1771894974,43676
1771894975,43676
1771894976,43676
1771894977,43676
1771894978,43676
1771894979,43676
1771894980,43676
1771894981,43676
1771894982,43676
1771894983,43676
1771894984,43676
1771894985,43676
1771894986,43676
1771894987,43676
1771894988,43676
1771894989,43676
1771894990,43676
1771894991,43676
1771894992,43676
1771894994,43676
1771894995,43676
1771894996,43676
1771894997,43676
1771894998,43676
1771894999,43676
1771895000,43676
1771895001,43676
1771895002,43676
1771895003,43676
1771895004,43676
1771895005,43676
1771895006,43676
1771895007,43676
1771895008,43676
1771895009,43676
1771895010,43676
1771895011,43676
1771895012,43676
1771895013,43676
1771895014,43676
1771895015,43676
1771895016,43676
1771895017,43676
1771895018,43676
1771895019,43676
1771895020,43676
1771895021,43676
1771895022,43676
1771895023,43676
1771895024,43684
1771895025,43684
1771895026,43684
1771895027,43684
1771895028,43692
1771895029,43692
1771895030,43696
1771895031,43696
1771895032,43696
1771895033,43696
1771895034,43696
1771895035,43696
1771895036,43708
